pillar,column,label,n,r2_baseline,r2_baseline_flexible,r2_alone_shape_v1,lift_shape_v1,lift_shape_v1_flexbase,r2_alone_shape_v1_boost,lift_shape_v1_boost,lift_shape_v1_flexbase_boost,r2_alone_shape_v2,lift_shape_v2,lift_shape_v2_flexbase,r2_alone_shape_v2_boost,lift_shape_v2_boost,lift_shape_v2_flexbase_boost,r2_alone_typed,lift_typed,lift_typed_flexbase,r2_alone_typed_boost,lift_typed_boost,lift_typed_flexbase_boost,r2_alone_typed_plus_shape_v2,lift_typed_plus_shape_v2,lift_typed_plus_shape_v2_flexbase,r2_alone_typed_plus_shape_v2_boost,lift_typed_plus_shape_v2_boost,lift_typed_plus_shape_v2_flexbase_boost,r2_alone_size_nonlinear,lift_size_nonlinear,lift_size_nonlinear_flexbase,r2_alone_size_nonlinear_boost,lift_size_nonlinear_boost,lift_size_nonlinear_flexbase_boost,lift_boost_floor,lift_boost_floor_flexbase
D,log_total_tons,freight tonnage (log10),3144,0.8860441073691143,0.8876855656820717,0.393788353767771,2.357966956012536e-05,1.2487721513076977e-05,0.48139089008671265,-0.006967171843564768,-0.006144559660444138,0.49223170026915464,9.499810940172271e-05,6.779560850123101e-05,0.548135315386376,-0.0012121993330623804,-0.003486705559718417,0.2740642557263755,0.0008769320385512147,0.0007667657179522003,0.25200787942550273,-0.007851044888702252,-0.008299109791008008,0.5408118327163363,0.0006749449376604044,0.0004883034300773303,0.5825922562695365,8.966853547998088e-05,-0.0012320049548130152,0.8186185399172883,2.5196983077790946e-07,1.4936715564406455e-07,0.8201060926310794,-0.0022133548089273702,-0.0047323395388602085,-0.01255094036162574,-0.0132726495523392
C,unemployment_rate_latest,unemployment rate (level),3143,0.5027632741932753,0.4678763571271417,0.21096621239335667,0.0033720386242519496,0.0019014903545109263,0.3074048316868676,-0.014002376621180868,-0.02013028314608234,0.2095776052884195,0.003513983544154109,0.0027054437482306737,0.30145735426631814,-0.008010748261201073,-0.013550170453709764,0.023873157765504027,0.003627672914572888,0.0017166666115941975,-0.0006489368563176168,-0.03636803179273973,-0.039947039322293154,0.211315211387769,0.00762264612005481,0.006032804458241392,0.33937459803309267,0.002633897541232111,-0.006219700335282186,0.11807216353573402,5.781054648323902e-07,2.130970301328361e-07,0.057366734577321,-0.030040310739445797,-0.04433383488892584,-0.04592862896886574,-0.04148644054436046
B,lq_emp_11,"Agriculture, Forestry, Fishing & Hunting LQ",1457,0.3362495816743043,0.3553227604119398,0.13180849229809133,0.004672614957144439,6.311548309312354e-05,0.10283573201817187,-0.062014045911448545,-0.07982687829050683,0.16591315473093837,-0.0013140022783545424,4.316794144465508e-05,0.12613413487848146,-0.0657500452190144,-0.08151220839891171,0.11095048665302365,0.0004355354223498642,-0.0017835035283219058,0.15367194623106073,-0.03200761519929518,-0.03098492556892829,0.18757766378237273,0.0022073633251933344,-9.994183621819808e-05,0.16248793351173807,-0.05731141276071994,-0.07224722647134363,0.3348596372271011,0.037317943135963705,-7.309292870960604e-08,0.27559651234144655,-0.0033241121763061265,-0.061909298198738694,-0.09990797950409092,-0.082968703335352
D,in_partner_hhi,inbound partner concentration,3144,0.3635412862183681,0.37493689905929717,0.12919496869344138,6.232136221906437e-05,-3.843150752635971e-06,0.10883762234200411,-0.03582504729570857,-0.048357067419415145,0.1486264029625951,0.00015193220404441377,1.628076107929033e-06,0.14774876440170204,-0.028195173034947563,-0.038017331936425536,0.06820296847774499,8.884130235031762e-06,0.000281022875567416,-0.0037087038835599273,-0.0687018635285972,-0.05912024031401364,0.16234858187099355,0.0001783265536010603,2.2705053925875518e-05,0.1389821912810063,-0.02987905768487753,-0.02819283776277204,0.18721759672920768,0.03290730411576326,2.995182257770068e-08,0.09981603643524439,-0.02242959524740984,-0.053120751139608124,-0.05953142036097747,-0.05573812481410012
B,lq_emp_42,Wholesale Trade LQ,2346,0.21905308708738436,0.289163756074047,0.12990884411000636,0.003254730573860165,0.0010723360989688402,0.12052437095489921,-0.05399946290391189,-0.0582073202410035,0.13989984110790232,0.006348760396244657,0.0017732035879604036,0.16179725843996806,-0.03880530425803752,-0.04872732675417235,0.041181774695325246,0.0020632411315038013,0.001308351913394512,0.0032528314238062794,-0.06040950479436924,-0.0710129111763107,0.13787636216981491,0.007545609520015928,0.002326189070363527,0.1561623052025225,-0.040062559420151245,-0.05380497562026443,0.15586452595292766,0.036126825365470516,-1.0931332983243891e-07,0.11133963912549805,-0.05560592087530025,-0.1072143820473509,-0.06675471768223717,-0.06149332596914392
B,lq_emp_54,"Professional, Scientific & Technical Services LQ",2268,0.3267065339053543,0.4009554103036014,0.13017665094562558,0.0020041856891717114,1.4867217825065282e-05,0.08964540710136737,-0.05592731069973811,-0.06114362025116249,0.13949595518420255,0.0035293840017871503,3.712469843453192e-05,0.10178485702306184,-0.05756057066355147,-0.055076630307154595,0.15892687434051733,0.002448215454308844,-1.7240686057684584e-06,0.10556054901583645,-0.039432845961541396,-0.053038216891716394,0.16766813472454967,0.0035362849658677753,3.525243885793561e-05,0.1366467330210751,-0.05093497613184539,-0.05223175491835497,0.3583031012258413,0.050368391800652,-6.961137932748329e-08,0.3148271189080408,0.015197343298688049,-0.040516504584905855,-0.07026915477513562,-0.07122358292584852
B,lq_emp_53,Real Estate & Rental & Leasing LQ,2453,0.2626236425183559,0.2837977635551511,0.10959818594285431,-0.00044300358490589886,-0.0009516681664890614,0.06647936386950892,-0.06327558311266679,-0.05704988306317238,0.11171041655356817,-0.001991299635742294,-0.0021479555753978197,0.07266077657919101,-0.05854770137824883,-0.05750644052956322,0.06555520470038978,0.0023069642659308,-0.000390414434317754,0.026587671258756496,-0.0598209943602811,-0.06612556075857623,0.12380801652733064,0.00014042386859292044,-0.0014930943066762126,0.10239134030115093,-0.05111105517131387,-0.05383997370277949,0.1741825982891514,2.8874754509633505e-07,-3.7591207702192264e-08,0.12178955966325467,-0.05320878108480054,-0.07714317782451396,-0.0903246062712888,-0.08331102356690656
D,out_partner_hhi,outbound partner concentration,3144,0.3861398493030823,0.3752411867048505,0.11386656720054478,-7.49542489788535e-05,-3.103820422900583e-09,0.10038271664232057,-0.0358514433949757,-0.0425609237735447,0.1090669250293369,-0.00011133600120327714,4.622464531700565e-06,0.12527527477726608,-0.03097689083555677,-0.04033531396442158,0.0899005900674652,0.003703168365868592,0.002022871308838603,0.015146941282384252,-0.047883752076740005,-0.04221587479191957,0.12489172559605077,0.0008088323099260109,5.114517891635639e-05,0.1317913029303236,-0.013538854243081544,-0.024183833389032072,0.1803880303783265,0.030294192382530394,4.415146268588188e-07,0.09657694664443683,-0.024509414342394176,-0.05390722189586772,-0.05869873267682835,-0.05603285949930592
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",1026,0.4070664866928364,0.42274940917162906,0.11597125628724148,1.2444543185496926e-05,-0.00012696072563511684,0.06207469972755286,-0.06225743760399183,-0.06125714613602662,0.10790770212780243,-0.00016615691637889007,0.00036835391106793125,0.10988411239189166,-0.047765987141442645,-0.04780275456546412,0.04188194445248805,-2.6237807585482997e-06,-6.777511990518903e-07,0.02109705995171085,-0.07132558730164829,-0.06256126348419433,0.11671041124213566,0.00013738298135246296,0.00034340805890331616,0.13420416414237413,-0.05072924541401802,-0.05650675041698172,0.3333213016047233,8.097543719998157e-07,4.67353492572542e-08,0.3196245346446589,-0.02592513389022255,-0.02587364500147371,-0.0760012113076568,-0.07033851189180285
B,lq_emp_56,Administrative & Support & Waste Management LQ,2212,0.23236025404579708,0.23256445521161595,0.10417895440678959,-0.0011320524555454847,-0.0014496301831981029,0.04020551766003311,-0.08827913268616949,-0.0748419588846917,0.09142883344854524,-0.001975179734364896,-0.0019756149618748164,0.08631975418348947,-0.08068788950564787,-0.07811609848458378,0.06858804671688401,-0.0008665884014354974,-0.0008372140243668724,-0.0013157960243723732,-0.07477109618084488,-0.07217300712202301,0.12718001691518765,-0.00028182345621885485,-0.00020135920031894017,0.08075397681897711,-0.06967706285140673,-0.0833294428771515,0.1713036515883002,4.584579328392735e-07,-3.009518489971441e-08,0.12185028068802484,-0.06881178579304548,-0.06972752059374832,-0.08334291414029504,-0.07664783867010871
